,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
427,1985,Puerto Rico,male,25-34 years,43,235800,20289200000.0,18.24,18.220833,-66.590149
428,1985,Puerto Rico,male,35-54 years,70,322500,20289200000.0,21.71,18.220833,-66.590149
430,1985,Puerto Rico,male,55-74 years,66,200900,20289200000.0,32.85,18.220833,-66.590149
431,1985,Puerto Rico,male,75+ years,25,46600,20289200000.0,53.65,18.220833,-66.590149
435,1985,Republic of Korea,female,05-14 years,13,4056400,100273097170.0,0.32,35.907757000000004,127.766922
432,1985,Republic of Korea,female,15-24 years,296,4148300,100273097170.0,7.14,35.907757000000004,127.766922
433,1985,Republic of Korea,female,25-34 years,228,3568800,100273097170.0,6.39,35.907757000000004,127.766922
434,1985,Republic of Korea,female,35-54 years,262,4267400,100273097170.0,6.14,35.907757000000004,127.766922
436,1985,Republic of Korea,female,55-74 years,161,2000500,100273097170.0,8.05,35.907757000000004,127.766922
437,1985,Republic of Korea,female,75+ years,38,370700,100273097170.0,10.25,35.907757000000004,127.766922
441,1985,Republic of Korea,male,05-14 years,20,4336000,100273097170.0,0.46,35.907757000000004,127.766922
438,1985,Republic of Korea,male,15-24 years,678,4413000,100273097170.0,15.36,35.907757000000004,127.766922
439,1985,Republic of Korea,male,25-34 years,655,3616800,100273097170.0,18.11,35.907757000000004,127.766922
440,1985,Republic of Korea,male,35-54 years,903,4285700,100273097170.0,21.07,35.907757000000004,127.766922
442,1985,Republic of Korea,male,55-74 years,393,1498300,100273097170.0,26.23,35.907757000000004,127.766922
443,1985,Republic of Korea,male,75+ years,42,154800,100273097170.0,27.13,35.907757000000004,127.766922
471,1985,Singapore,female,05-14 years,3,200400,19138296376.0,1.5,1.352083,103.819836
468,1985,Singapore,female,15-24 years,25,253400,19138296376.0,9.87,1.352083,103.819836
469,1985,Singapore,female,25-34 years,35,266700,19138296376.0,13.12,1.352083,103.819836
470,1985,Singapore,female,35-54 years,27,285200,19138296376.0,9.47,1.352083,103.819836
472,1985,Singapore,female,55-74 years,25,125100,19138296376.0,19.98,1.352083,103.819836
473,1985,Singapore,female,75+ years,19,24500,19138296376.0,77.55,1.352083,103.819836
477,1985,Singapore,male,05-14 years,0,215900,19138296376.0,0.0,1.352083,103.819836
474,1985,Singapore,male,15-24 years,27,268000,19138296376.0,10.07,1.352083,103.819836
475,1985,Singapore,male,25-34 years,52,280500,19138296376.0,18.54,1.352083,103.819836
476,1985,Singapore,male,35-54 years,49,292500,19138296376.0,16.75,1.352083,103.819836
478,1985,Singapore,male,55-74 years,39,122400,19138296376.0,31.86,1.352083,103.819836
479,1985,Singapore,male,75+ years,23,15900,19138296376.0,144.65,1.352083,103.819836
483,1985,Spain,female,05-14 years,1,3104600,180302412231.0,0.03,40.463667,-3.7492199999999998
480,1985,Spain,female,15-24 years,43,3195300,180302412231.0,1.35,40.463667,-3.7492199999999998
481,1985,Spain,female,25-34 years,59,2677200,180302412231.0,2.2,40.463667,-3.7492199999999998
482,1985,Spain,female,35-54 years,174,4544800,180302412231.0,3.83,40.463667,-3.7492199999999998
484,1985,Spain,female,55-74 years,277,3683300,180302412231.0,7.52,40.463667,-3.7492199999999998
485,1985,Spain,female,75+ years,131,1174800,180302412231.0,11.15,40.463667,-3.7492199999999998
489,1985,Spain,male,05-14 years,8,3295100,180302412231.0,0.24,40.463667,-3.7492199999999998
486,1985,Spain,male,15-24 years,176,3330600,180302412231.0,5.28,40.463667,-3.7492199999999998
487,1985,Spain,male,25-34 years,219,2712700,180302412231.0,8.07,40.463667,-3.7492199999999998
488,1985,Spain,male,35-54 years,497,4471200,180302412231.0,11.12,40.463667,-3.7492199999999998
490,1985,Spain,male,55-74 years,624,3115900,180302412231.0,20.03,40.463667,-3.7492199999999998
491,1985,Spain,male,75+ years,305,691500,180302412231.0,44.11,40.463667,-3.7492199999999998
507,1985,Suriname,female,05-14 years,1,52400,873250000.0,1.91,3.9193050000000005,-56.02778299999999
504,1985,Suriname,female,15-24 years,7,51400,873250000.0,13.62,3.9193050000000005,-56.02778299999999
505,1985,Suriname,female,25-34 years,0,18300,873250000.0,0.0,3.9193050000000005,-56.02778299999999
506,1985,Suriname,female,35-54 years,7,22600,873250000.0,30.97,3.9193050000000005,-56.02778299999999
508,1985,Suriname,female,55-74 years,5,15000,873250000.0,33.33,3.9193050000000005,-56.02778299999999
509,1985,Suriname,female,75+ years,2,4200,873250000.0,47.62,3.9193050000000005,-56.02778299999999
513,1985,Suriname,male,05-14 years,2,54600,873250000.0,3.66,3.9193050000000005,-56.02778299999999
510,1985,Suriname,male,15-24 years,17,53700,873250000.0,31.66,3.9193050000000005,-56.02778299999999
511,1985,Suriname,male,25-34 years,11,16100,873250000.0,68.32,3.9193050000000005,-56.02778299999999
512,1985,Suriname,male,35-54 years,20,20500,873250000.0,97.56,3.9193050000000005,-56.02778299999999
514,1985,Suriname,male,55-74 years,6,11700,873250000.0,51.28,3.9193050000000005,-56.02778299999999
515,1985,Suriname,male,75+ years,2,2200,873250000.0,90.91,3.9193050000000005,-56.02778299999999
519,1985,Thailand,female,05-14 years,46,6090740,38900692712.0,0.76,15.870032,100.992541
516,1985,Thailand,female,15-24 years,593,5558670,38900692712.0,10.67,15.870032,100.992541
517,1985,Thailand,female,25-34 years,254,4232095,38900692712.0,6.0,15.870032,100.992541
518,1985,Thailand,female,35-54 years,236,4923818,38900692712.0,4.79,15.870032,100.992541
520,1985,Thailand,female,55-74 years,94,2055721,38900692712.0,4.57,15.870032,100.992541
521,1985,Thailand,female,75+ years,17,424010,38900692712.0,4.01,15.870032,100.992541
525,1985,Thailand,male,05-14 years,29,6292413,38900692712.0,0.46,15.870032,100.992541
522,1985,Thailand,male,15-24 years,573,5671609,38900692712.0,10.1,15.870032,100.992541
523,1985,Thailand,male,25-34 years,453,4104134,38900692712.0,11.04,15.870032,100.992541
524,1985,Thailand,male,35-54 years,448,4748330,38900692712.0,9.43,15.870032,100.992541
526,1985,Thailand,male,55-74 years,211,1912525,38900692712.0,11.03,15.870032,100.992541
527,1985,Thailand,male,75+ years,28,289378,38900692712.0,9.68,15.870032,100.992541
543,1985,United Kingdom,female,05-14 years,2,3542919,489285164271.0,0.06,55.378051,-3.435973
540,1985,United Kingdom,female,15-24 years,86,4549121,489285164271.0,1.89,55.378051,-3.435973
541,1985,United Kingdom,female,25-34 years,176,3899906,489285164271.0,4.51,55.378051,-3.435973
542,1985,United Kingdom,female,35-54 years,505,6879295,489285164271.0,7.34,55.378051,-3.435973
544,1985,United Kingdom,female,55-74 years,678,6002096,489285164271.0,11.3,55.378051,-3.435973
545,1985,United Kingdom,female,75+ years,237,2418692,489285164271.0,9.8,55.378051,-3.435973
549,1985,United Kingdom,male,05-14 years,3,3740694,489285164271.0,0.08,55.378051,-3.435973
546,1985,United Kingdom,male,15-24 years,411,4731293,489285164271.0,8.69,55.378051,-3.435973
547,1985,United Kingdom,male,25-34 years,620,3969689,489285164271.0,15.62,55.378051,-3.435973
548,1985,United Kingdom,male,35-54 years,1208,6899879,489285164271.0,17.51,55.378051,-3.435973
550,1985,United Kingdom,male,55-74 years,915,5170113,489285164271.0,17.7,55.378051,-3.435973
551,1985,United Kingdom,male,75+ years,264,1202838,489285164271.0,21.95,55.378051,-3.435973
555,1985,United States,female,05-14 years,73,16553000,4346734000000.0,0.44,37.09024,-95.712891
552,1985,United States,female,15-24 years,854,19589000,4346734000000.0,4.36,37.09024,-95.712891
553,1985,United States,female,25-34 years,1242,21041000,4346734000000.0,5.9,37.09024,-95.712891
554,1985,United States,female,35-54 years,2105,27763000,4346734000000.0,7.58,37.09024,-95.712891
556,1985,United States,female,55-74 years,1568,21366000,4346734000000.0,7.34,37.09024,-95.712891
557,1985,United States,female,75+ years,466,7469000,4346734000000.0,6.24,37.09024,-95.712891
561,1985,United States,male,05-14 years,205,17370000,4346734000000.0,1.18,37.09024,-95.712891
558,1985,United States,male,15-24 years,4267,19962000,4346734000000.0,21.38,37.09024,-95.712891
559,1985,United States,male,25-34 years,5134,20986000,4346734000000.0,24.46,37.09024,-95.712891
560,1985,United States,male,35-54 years,6053,26589000,4346734000000.0,22.77,37.09024,-95.712891
562,1985,United States,male,55-74 years,5302,17971000,4346734000000.0,29.5,37.09024,-95.712891
563,1985,United States,male,75+ years,2177,4064000,4346734000000.0,53.57,37.09024,-95.712891
567,1985,Uruguay,female,05-14 years,2,263100,4732017873.0,0.76,-32.522779,-55.765834999999996
564,1985,Uruguay,female,15-24 years,5,240000,4732017873.0,2.08,-32.522779,-55.765834999999996
565,1985,Uruguay,female,25-34 years,3,203000,4732017873.0,1.48,-32.522779,-55.765834999999996
566,1985,Uruguay,female,35-54 years,16,347300,4732017873.0,4.61,-32.522779,-55.765834999999996
568,1985,Uruguay,female,55-74 years,21,270100,4732017873.0,7.77,-32.522779,-55.765834999999996
569,1985,Uruguay,female,75+ years,4,72800,4732017873.0,5.49,-32.522779,-55.765834999999996
573,1985,Uruguay,male,05-14 years,1,271000,4732017873.0,0.37,-32.522779,-55.765834999999996
570,1985,Uruguay,male,15-24 years,16,247000,4732017873.0,6.48,-32.522779,-55.765834999999996
571,1985,Uruguay,male,25-34 years,30,204000,4732017873.0,14.71,-32.522779,-55.765834999999996
572,1985,Uruguay,male,35-54 years,67,336400,4732017873.0,19.92,-32.522779,-55.765834999999996
574,1985,Uruguay,male,55-74 years,85,235800,4732017873.0,36.05,-32.522779,-55.765834999999996
575,1985,Uruguay,male,75+ years,37,46900,4732017873.0,78.89,-32.522779,-55.765834999999996
591,1986,Argentina,female,05-14 years,7,2971900,110934442763.0,0.24,-38.416097,-63.616671999999994
588,1986,Argentina,female,15-24 years,101,2367600,110934442763.0,4.27,-38.416097,-63.616671999999994
589,1986,Argentina,female,25-34 years,96,2197600,110934442763.0,4.37,-38.416097,-63.616671999999994
590,1986,Argentina,female,35-54 years,188,3374300,110934442763.0,5.57,-38.416097,-63.616671999999994
592,1986,Argentina,female,55-74 years,201,2317100,110934442763.0,8.67,-38.416097,-63.616671999999994
593,1986,Argentina,female,75+ years,48,540200,110934442763.0,8.89,-38.416097,-63.616671999999994
597,1986,Argentina,male,05-14 years,10,3061400,110934442763.0,0.33,-38.416097,-63.616671999999994
594,1986,Argentina,male,15-24 years,186,2428900,110934442763.0,7.66,-38.416097,-63.616671999999994
595,1986,Argentina,male,25-34 years,209,2246900,110934442763.0,9.3,-38.416097,-63.616671999999994
596,1986,Argentina,male,35-54 years,478,3365200,110934442763.0,14.2,-38.416097,-63.616671999999994
598,1986,Argentina,male,55-74 years,530,2008300,110934442763.0,26.39,-38.416097,-63.616671999999994
599,1986,Argentina,male,75+ years,230,365000,110934442763.0,63.01,-38.416097,-63.616671999999994
603,1986,Australia,female,05-14 years,1,1213900,181977476217.0,0.08,-25.274398,133.775136
600,1986,Australia,female,15-24 years,77,1315000,181977476217.0,5.86,-25.274398,133.775136
601,1986,Australia,female,25-34 years,88,1300200,181977476217.0,6.77,-25.274398,133.775136
602,1986,Australia,female,35-54 years,169,1888100,181977476217.0,8.95,-25.274398,133.775136
604,1986,Australia,female,55-74 years,105,1306500,181977476217.0,8.04,-25.274398,133.775136
605,1986,Australia,female,75+ years,23,405000,181977476217.0,5.68,-25.274398,133.775136
609,1986,Australia,male,05-14 years,18,1277100,181977476217.0,1.41,-25.274398,133.775136
606,1986,Australia,male,15-24 years,296,1369000,181977476217.0,21.62,-25.274398,133.775136
607,1986,Australia,male,25-34 years,367,1317500,181977476217.0,27.86,-25.274398,133.775136
608,1986,Australia,male,35-54 years,487,1972000,181977476217.0,24.7,-25.274398,133.775136
610,1986,Australia,male,55-74 years,324,1211800,181977476217.0,26.74,-25.274398,133.775136
611,1986,Australia,male,75+ years,89,233700,181977476217.0,38.08,-25.274398,133.775136
615,1986,Austria,female,05-14 years,1,445322,99036165210.0,0.22,47.516231,14.550072
612,1986,Austria,female,15-24 years,60,625356,99036165210.0,9.59,47.516231,14.550072
613,1986,Austria,female,25-34 years,80,558561,99036165210.0,14.32,47.516231,14.550072
614,1986,Austria,female,35-54 years,182,941348,99036165210.0,19.33,47.516231,14.550072
616,1986,Austria,female,55-74 years,195,835145,99036165210.0,23.35,47.516231,14.550072
617,1986,Austria,female,75+ years,110,345431,99036165210.0,31.84,47.516231,14.550072
621,1986,Austria,male,05-14 years,5,466847,99036165210.0,1.07,47.516231,14.550072
618,1986,Austria,male,15-24 years,199,645787,99036165210.0,30.82,47.516231,14.550072
619,1986,Austria,male,25-34 years,272,564104,99036165210.0,48.22,47.516231,14.550072
620,1986,Austria,male,35-54 years,507,944245,99036165210.0,53.69,47.516231,14.550072
622,1986,Austria,male,55-74 years,355,588309,99036165210.0,60.34,47.516231,14.550072
623,1986,Austria,male,75+ years,173,158694,99036165210.0,109.01,47.516231,14.550072
639,1986,Belgium,female,05-14 years,1,602600,120661220336.0,0.17,50.503887,4.469936
636,1986,Belgium,female,15-24 years,40,729100,120661220336.0,5.49,50.503887,4.469936
637,1986,Belgium,female,25-34 years,76,755700,120661220336.0,10.06,50.503887,4.469936
638,1986,Belgium,female,35-54 years,252,1221200,120661220336.0,20.64,50.503887,4.469936
640,1986,Belgium,female,55-74 years,255,1039500,120661220336.0,24.53,50.503887,4.469936
641,1986,Belgium,female,75+ years,90,419600,120661220336.0,21.45,50.503887,4.469936
645,1986,Belgium,male,05-14 years,3,630300,120661220336.0,0.48,50.503887,4.469936
642,1986,Belgium,male,15-24 years,118,760500,120661220336.0,15.52,50.503887,4.469936
643,1986,Belgium,male,25-34 years,236,786200,120661220336.0,30.02,50.503887,4.469936
644,1986,Belgium,male,35-54 years,476,1237100,120661220336.0,38.48,50.503887,4.469936
646,1986,Belgium,male,55-74 years,444,889900,120661220336.0,49.89,50.503887,4.469936
647,1986,Belgium,male,75+ years,211,215400,120661220336.0,97.96,50.503887,4.469936
651,1986,Belize,female,05-14 years,0,18300,227850000.0,0.0,17.189877,-88.49765
648,1986,Belize,female,15-24 years,1,17800,227850000.0,5.62,17.189877,-88.49765
649,1986,Belize,female,25-34 years,0,12200,227850000.0,0.0,17.189877,-88.49765
650,1986,Belize,female,35-54 years,0,15500,227850000.0,0.0,17.189877,-88.49765
652,1986,Belize,female,55-74 years,0,8100,227850000.0,0.0,17.189877,-88.49765
653,1986,Belize,female,75+ years,0,1700,227850000.0,0.0,17.189877,-88.49765
657,1986,Belize,male,05-14 years,0,18900,227850000.0,0.0,17.189877,-88.49765
654,1986,Belize,male,15-24 years,1,18200,227850000.0,5.49,17.189877,-88.49765
655,1986,Belize,male,25-34 years,1,12100,227850000.0,8.26,17.189877,-88.49765
656,1986,Belize,male,35-54 years,0,14800,227850000.0,0.0,17.189877,-88.49765
658,1986,Belize,male,55-74 years,0,7600,227850000.0,0.0,17.189877,-88.49765
659,1986,Belize,male,75+ years,0,1600,227850000.0,0.0,17.189877,-88.49765
663,1986,Brazil,female,05-14 years,35,16001200,268137224730.0,0.22,-14.235004,-51.92528
660,1986,Brazil,female,15-24 years,331,13514000,268137224730.0,2.45,-14.235004,-51.92528
661,1986,Brazil,female,25-34 years,257,10614200,268137224730.0,2.42,-14.235004,-51.92528
662,1986,Brazil,female,35-54 years,335,13195700,268137224730.0,2.54,-14.235004,-51.92528
664,1986,Brazil,female,55-74 years,163,6093600,268137224730.0,2.67,-14.235004,-51.92528
665,1986,Brazil,female,75+ years,33,1079400,268137224730.0,3.06,-14.235004,-51.92528
669,1986,Brazil,male,05-14 years,27,16323800,268137224730.0,0.17,-14.235004,-51.92528
666,1986,Brazil,male,15-24 years,685,13347500,268137224730.0,5.13,-14.235004,-51.92528
667,1986,Brazil,male,25-34 years,754,9895200,268137224730.0,7.62,-14.235004,-51.92528
668,1986,Brazil,male,35-54 years,967,12396000,268137224730.0,7.8,-14.235004,-51.92528
670,1986,Brazil,male,55-74 years,581,5492100,268137224730.0,10.58,-14.235004,-51.92528
671,1986,Brazil,male,75+ years,103,823700,268137224730.0,12.5,-14.235004,-51.92528
675,1986,Bulgaria,female,05-14 years,3,632900,20249294118.0,0.47,42.733883,25.48583
672,1986,Bulgaria,female,15-24 years,38,575900,20249294118.0,6.6,42.733883,25.48583
673,1986,Bulgaria,female,25-34 years,20,618800,20249294118.0,3.23,42.733883,25.48583
674,1986,Bulgaria,female,35-54 years,92,1228100,20249294118.0,7.49,42.733883,25.48583
676,1986,Bulgaria,female,55-74 years,184,951900,20249294118.0,19.33,42.733883,25.48583
677,1986,Bulgaria,female,75+ years,96,223100,20249294118.0,43.03,42.733883,25.48583
681,1986,Bulgaria,male,05-14 years,12,667500,20249294118.0,1.8,42.733883,25.48583
678,1986,Bulgaria,male,15-24 years,64,603700,20249294118.0,10.6,42.733883,25.48583
679,1986,Bulgaria,male,25-34 years,123,624900,20249294118.0,19.68,42.733883,25.48583
680,1986,Bulgaria,male,35-54 years,290,1217600,20249294118.0,23.82,42.733883,25.48583
682,1986,Bulgaria,male,55-74 years,314,881400,20249294118.0,35.63,42.733883,25.48583
683,1986,Bulgaria,male,75+ years,172,165700,20249294118.0,103.8,42.733883,25.48583
687,1986,Canada,female,05-14 years,5,1744900,377437927312.0,0.29,56.130366,-106.34677099999999
684,1986,Canada,female,15-24 years,109,2061500,377437927312.0,5.29,56.130366,-106.34677099999999
685,1986,Canada,female,25-34 years,172,2278400,377437927312.0,7.55,56.130366,-106.34677099999999
686,1986,Canada,female,35-54 years,307,3087900,377437927312.0,9.94,56.130366,-106.34677099999999
688,1986,Canada,female,55-74 years,191,2115500,377437927312.0,9.03,56.130366,-106.34677099999999
689,1986,Canada,female,75+ years,36,653100,377437927312.0,5.51,56.130366,-106.34677099999999
693,1986,Canada,male,05-14 years,20,1836900,377437927312.0,1.09,56.130366,-106.34677099999999
690,1986,Canada,male,15-24 years,570,2116700,377437927312.0,26.93,56.130366,-106.34677099999999
691,1986,Canada,male,25-34 years,719,2248800,377437927312.0,31.97,56.130366,-106.34677099999999
692,1986,Canada,male,35-54 years,878,3098100,377437927312.0,28.34,56.130366,-106.34677099999999
694,1986,Canada,male,55-74 years,520,1862900,377437927312.0,27.91,56.130366,-106.34677099999999
695,1986,Canada,male,75+ years,143,394400,377437927312.0,36.26,56.130366,-106.34677099999999
699,1986,Chile,female,05-14 years,4,1179300,18891048819.0,0.34,-35.675146999999996,-71.542969
696,1986,Chile,female,15-24 years,37,1234200,18891048819.0,3.0,-35.675146999999996,-71.542969
697,1986,Chile,female,25-34 years,26,1018700,18891048819.0,2.55,-35.675146999999996,-71.542969
698,1986,Chile,female,35-54 years,37,1305400,18891048819.0,2.83,-35.675146999999996,-71.542969
700,1986,Chile,female,55-74 years,15,657700,18891048819.0,2.28,-35.675146999999996,-71.542969
701,1986,Chile,female,75+ years,3,147500,18891048819.0,2.03,-35.675146999999996,-71.542969
705,1986,Chile,male,05-14 years,7,1224000,18891048819.0,0.57,-35.675146999999996,-71.542969
702,1986,Chile,male,15-24 years,108,1261700,18891048819.0,8.56,-35.675146999999996,-71.542969
703,1986,Chile,male,25-34 years,124,1024700,18891048819.0,12.1,-35.675146999999996,-71.542969
704,1986,Chile,male,35-54 years,156,1237100,18891048819.0,12.61,-35.675146999999996,-71.542969
